region_id	ref_lines	status	sample	annotation	region_sha
D045	341-341	dynamic	t = "Online battles are in heavy development. Try now!";	template-edit:20171119	208ae081284b
S046	342-346	static	}	—	022949edfd29
D047	347-347	dynamic	</script><div id="loginAllUserInfo" style="display: none;"></div>	template-edit:20170526	9c235fd4e4e0
S048	348-367	static	<div id="login" class="box standard" style="position: relative; visibility: hidd	—	8b6561168569
D049	368-368	dynamic	<input id="loginpassword" type="password" name="password" size="12" value="passw	template-edit:20171119	88993e2a8b97
S050	369-426	static	<div id="loginerror" style="width: 110px; height: 10px; float:left; display:none	—	f9a3f40318c8
D051	427-431	dynamic		template-edit:20180523	bf8aa1c32103
S052	432-482	static	}	—	afaa8229f755
D053	483-483	dynamic	var c = new SWFObject("includes/signUpTankDesign18StandardColours.swf", "signUpT	template-edit:20180814	707e8e1b87fc
S054	484-859	static	c.addParam("allowScriptAccess", "sameDomain");	—	3d61954e771d
D055	860-860	dynamic	Since 2007-12-16<br/><div style="padding: 2px 0px 2px 0px;" class="text normal">	per-request:live-player-stats (games/today/online/owners/logged-in counters)	e64e00316d27
S056	861-862	static	</div>	—	9a148c5779ca
D057	863-864	dynamic	</div>	template-edit:20170429	da724d0cbb69
S058	865-869	static		—	eb2bce5d0c4d
D059	870-878	dynamic	<script async src="//pagead2.googlesyndication.com/pagead/js/adsbygoogle.js"></s	template-edit:20170429	ddb025789030
S060	879-904	static		—	1c113cb1269d
D061	905-905	dynamic	<div class="content text tiny gray" style="text-align: justify; height: 110px;">	per-request:top10-rankings (weekly/monthly tables, DB state at request time)	605c06d4f113
S062	906-993	static	<div class="tab1" style="width: 60px; text-align: center; position: absolute; bo	—	9a75d2c49a97
D063	994-994	dynamic	window.open('https://beta.tanktrouble.com/#'+encodeURIComponent('type=messages')	template-edit:20180523	3a6650cabc6f
S064	995-1000	static		—	a5f76586af27
D065	1001-1002	dynamic	};	template-edit:20180523	dadff5d5816c
S066	1003-1116	static	</script> </div>	—	2eaa14b6c907
D067	1117-1117	dynamic	if (username === currentUsertrailName)	template-edit:20180523	112d01bb988a
S068	1118-1135	static	return;	—	1f6c34d90412
D069	1136-1136	dynamic	if (currentElement.innerHTML === currentUsertrailName)	template-edit:20180523	524c54cfad94
S070	1137-1159	static	{	—	c562878e36f5
D071	1160-1160	dynamic	currentUsertrailName = null;	template-edit:20180523	c1226ca0ad8d
S072	1161-1559	static	}	—	5aac0f761b69
D073	1560-1566	dynamic	}	template-edit:20170221	f9ce5c07e6eb
S074	1567-1576	static	}	—	cca6c92631aa
